# Source: Todd Bot | Synced: 2026-02-08 | Companies: 127
name,website,industry,segment,hq_city,hq_state,employee_count,composite_score,signals,messaging_hook,source_url,signal_type,signal_date,ownership,ticker,notes
HyImpulse,hyimpulse.de,Space & Aerospace,Launch & Space Access,"Neuenstadt, Germany",,,5,Hybrid rocket propulsion; paraffin-based,German launch technology,https://en.wikipedia.org/wiki/HyImpulse,Tailwind,2024,Private,,Hybrid propulsion; SL1 small launcher
Rocket Factory Augsburg,rfa.space,Space & Aerospace,Launch & Space Access,"Augsburg, Germany",,,5,RFA ONE launch vehicle; European microlauncher,German launch manufacturing,https://en.wikipedia.org/wiki/Rocket_Factory_Augsburg,Tailwind,2024,Private,,European microlauncher development
Agnikul Cosmos,agnikul.in,Space & Aerospace,Launch & Space Access,"Chennai, India",,,5,3D printed rocket engines; Agnibaan launch vehicle,Indian launch technology,https://en.wikipedia.org/wiki/Agnikul_Cosmos,Tailwind,2024,Private,,World's first single-piece 3D printed rocket engine
Galactic Energy,galactic-energy.cn,Space & Aerospace,Launch & Space Access,"Beijing, China",,,4,Chinese commercial launch provider,Chinese company; limited US engagement,https://en.wikipedia.org/wiki/Galactic_Energy,Tailwind,2024,Private,,Chinese commercial launch
Zhuque Aerospace (Landspace),landspace.com,Space & Aerospace,Launch & Space Access,"Beijing, China",,,4,Chinese commercial launch; Zhuque-2 methane rocket,Chinese company; limited US engagement,https://en.wikipedia.org/wiki/LandSpace,Tailwind,2024,Private,,Chinese commercial launch
Zero 2 Infinity,zero2infinity.space,Space & Aerospace,Launch & Space Access,"Barcelona, Spain",,,4,Balloon-launched rockets; Bloostar,Spanish launch technology,https://en.wikipedia.org/wiki/Zero_2_Infinity,Tailwind,2024,Private,,Near space balloon launches
Vaya Space,vayaspace.com,Space & Aerospace,Launch & Space Access,Cocoa,FL,,5,Hybrid rocket launch vehicles,Florida launch manufacturing,https://en.wikipedia.org/wiki/Vaya_Space,Tailwind,2024,Private,,$42M funding; 30-day launch cycle
Virgin Orbit,virginorbit.com,Space & Aerospace,Launch & Space Access,Long Beach,CA,,2,Air-launched rockets; filed for bankruptcy 2023,Ceased operations,https://en.wikipedia.org/wiki/Virgin_Orbit,Tailwind,2023,Private,,Filed bankruptcy; assets sold
Exolaunch,exolaunch.com,Space & Aerospace,Launch & Space Access,"Berlin, Germany",,,5,Rideshare and deployment services,Launch integration services,https://en.wikipedia.org/wiki/Exolaunch,Tailwind,2024,Private,,German company; deployment technology
Skyrora,skyrora.com,Space & Aerospace,Launch & Space Access,"Edinburgh, Scotland",,,5,UK launch vehicle development; Skyrora XL,Scottish launch manufacturing,https://en.wikipedia.org/wiki/Skyrora,Tailwind,2024,Public,,UK launch ambitions; 315kg to 500km
Aerospacelab,aerospacelab.be,Space & Aerospace,Spacecraft & Satellite Systems,"Mont-Saint-Guibert, Belgium",,,5,Small satellite manufacturer; Belgian space,European satellite manufacturing,https://en.wikipedia.org/wiki/Aerospacelab,Tailwind,2024,Private,,Belgian company; observation satellites
ISISPACE,isispace.nl,Space & Aerospace,Spacecraft & Satellite Systems,"Delft, Netherlands",,,5,CubeSat and small satellite solutions,Dutch small satellite provider,https://en.wikipedia.org/wiki/Innovative_Solutions_In_Space,Tailwind,2024,Private,,CubeSat deployers and platforms
Millennium Space Systems,millennium-space.com,Space & Aerospace,Spacecraft & Satellite Systems,El Segundo,CA,,5,Agile small satellites; Boeing subsidiary,Boeing subsidiary; established operations,https://en.wikipedia.org/wiki/Millennium_Space_Systems,Tailwind,2024,Private,,National security small satellites
OHB System,ohb.de,Space & Aerospace,Spacecraft & Satellite Systems,"Bremen, Germany",,,5,German satellite manufacturer,European satellite manufacturing,https://en.wikipedia.org/wiki/OHB_System,Tailwind,2024,Public,OHB,German public company
Satrec Initiative,satreci.com,Space & Aerospace,Spacecraft & Satellite Systems,"Daejeon, South Korea",,,5,Korean satellite manufacturer,Korean satellite technology,https://en.wikipedia.org/wiki/Satrec_Initiative,Tailwind,2024,Public,STRI,South Korean EO satellites
Surrey Satellite Technology Ltd,sstl.co.uk,Space & Aerospace,Spacecraft & Satellite Systems,Guildford,UK,,5,UK small satellite pioneer,UK satellite manufacturing,https://en.wikipedia.org/wiki/SSTL,Tailwind,2024,Private,,Airbus subsidiary; 500+ employees
Sidus Space,sidusspace.com,Space & Aerospace,Spacecraft & Satellite Systems,Cape Canaveral,FL,,5,Dual-use satellite manufacturing and AI,Florida satellite manufacturing,https://en.wikipedia.org/wiki/Sidus_Space,Tailwind,2024,Public,SIDU,Public company; Cape Canaveral
Bradford Space,bradford-space.com,Space & Aerospace,Spacecraft Components & Subsystems,"Heerle, Netherlands",,,5,Propulsion systems and spacecraft components,European propulsion supplier,https://www.bradford-space.com/,Tailwind,2024,Private,,US operations in VA and CA
Apollo Fusion (Astra),apollo-fusion.com,Space & Aerospace,Spacecraft Components & Subsystems,Alameda,CA,,5,Hall-effect thrusters; Astra subsidiary,Astra acquisition; California,https://en.wikipedia.org/wiki/Apollo_Fusion,Tailwind,2024,Private,,Electric propulsion technology
Applied Ion Systems,appliedionsystems.com,Space & Aerospace,Spacecraft Components & Subsystems,Boulder,CO,,5,Micro-propulsion for small satellites,Colorado micro-propulsion,https://www.appliedionsystems.com/,Tailwind,2024,Private,,Boulder-based propulsion
Magdrive,magdrive.space,Space & Aerospace,Spacecraft Components & Subsystems,Oxford,UK,,5,Wireless power propulsion systems,UK propulsion technology,https://www.magdrive.space/,Tailwind,2024,Private,,Novel wireless power transfer
Orbion Space Technology,orbionspace.com,Space & Aerospace,Spacecraft Components & Subsystems,Houghton,MI,,5,Plasma propulsion for small satellites,Michigan propulsion manufacturing,https://en.wikipedia.org/wiki/Orbion_Space_Technology,Tailwind,2024,Private,,Hall thruster technology
VACCO Industries,vacco.com,Space & Aerospace,Spacecraft Components & Subsystems,South El Monte,CA,,5,Space valves and fluid control; acquired 2025,California aerospace supplier,https://www.vacco.com/,Tailwind,2025,Public,,$310M acquisition by HEICO
Astronics Corporation,astronics.com,Space & Aerospace,Spacecraft Components & Subsystems,East Aurora,NY,,4,Aerospace test and lighting systems,New York aerospace supplier,https://en.wikipedia.org/wiki/Astronics_Corporation,Tailwind,2024,Public,ATRO,Public company; established
Honeybee Robotics,honeybeerobotics.com,Space & Aerospace,Spacecraft Components & Subsystems,Longmont,CO,,5,Space robotics and mechanisms; Blue Origin subsidiary,Colorado robotics; Blue Origin sub,https://en.wikipedia.org/wiki/Honeybee_Robotics,Tailwind,2024,Private,,Space mechanisms and sampling
Scout Space,scout.space,Space & Aerospace,Data Software & Space Intelligence,Reston,VA,,5,On-orbit space domain awareness,Virginia SDA technology,https://www.scout.space/,Tailwind,2024,Private,,$5.75M funding; orbital inspection
Synthetaic,synthetaic.com,Space & Aerospace,Data Software & Space Intelligence,Delafield,WI,,5,AI for geospatial analysis; now RAIC Labs,Wisconsin AI/ML,https://en.wikipedia.org/wiki/Synthetaic,Tailwind,2024,Private,,$15M Series B 2024
Kythera Space Solutions,kythera.space,Space & Aerospace,Data Software & Space Intelligence,Irvine,CA,,5,Space domain awareness and custody chain,California SDA software,https://kythera.space/,Tailwind,2024,Private,,Space monitoring solutions
FreeFlyer (AI Solutions),ai-solutions.com,Space & Aerospace,Data Software & Space Intelligence,Lanham,MD,,4,Astrodynamics software; FreeFlyer platform,Maryland space software,https://www.ai-solutions.com/,Tailwind,2024,Private,,Established astrodynamics leader
Quilty Analytics,quiltyanalytics.com,Space & Aerospace,Data Software & Space Intelligence,Alexandria,VA,,3,Space industry research and advisory,Research/advisory not manufacturing,https://www.quiltyanalytics.com/,Tailwind,2024,Private,,Market research firm
Guident,guident.co,Space & Aerospace,Data Software & Space Intelligence,McLean,VA,,5,Geospatial AI and automation,Virginia AI/ML,https://www.guident.co/,Tailwind,2024,Private,,Autonomous vehicle monitoring
Aptos Orbital,aptosorbital.com,Space & Aerospace,Ground Infrastructure & Mission Operations,Los Angeles,CA,,5,Ground segment solutions,California ground systems,https://www.aptosorbital.com/,Tailwind,2024,Private,,Ground infrastructure
Astrogate Labs,astrogatelabs.com,Space & Aerospace,Communications PNT & Connectivity,"Bangalore, India",,,5,Optical inter-satellite links,Indian laser comms,https://www.astrogatelabs.com/,Tailwind,2024,Private,,Optical communications technology
Lynk Global,lynk.world,Space & Aerospace,Communications PNT & Connectivity,Falls Church,VA,,5,Satellite-direct-to-cell phone connectivity,Virginia satellite communications,https://en.wikipedia.org/wiki/Lynk_Global,Tailwind,2024,Private,,Direct satellite-to-phone
Mangata Networks,mangatanetworks.com,Space & Aerospace,Communications PNT & Connectivity,Menlo Park,CA,,5,Multi-orbit broadband constellation,California satellite broadband,https://www.mangatanetworks.com/,Tailwind,2024,Private,,HEO/MEO hybrid constellation
Skykraft,skykraft.com.au,Space & Aerospace,Communications PNT & Connectivity,"Canberra, Australia",,,5,Space-enabled air traffic management,Australian space company,https://www.skykraft.com.au/,Tailwind,2024,Private,,ATM from space
Orbital Assembly,orbitalassembly.com,Space & Aerospace,Space Stations Habitats & Orbital Platforms,Rancho Palos Verdes,CA,,4,Artificial gravity space stations,California space stations,https://en.wikipedia.org/wiki/Orbital_Assembly,Tailwind,2024,Private,,Voyager Station concept; early stage
Orbital Therapeutics,orbitaltx.com,Space & Aerospace,In-Space Manufacturing Materials & Zero-Gravity R&D,San Francisco,CA,,5,Microgravity pharmaceutical research,California pharma R&D,https://www.orbitaltx.com/,Tailwind,2024,Private,,In-space pharmaceutical manufacturing
Swinburne University of Technology (Space),swinburne.edu.au,Space & Aerospace,Research Workforce & Ecosystem Enablement,"Melbourne, Australia",,,3,Space research and education,Research institution,https://en.wikipedia.org/wiki/Swinburne_University_of_Technology,Tailwind,2024,Educational,,Not commercial target
