Company,Website,HQ Location,Employee Count,Ownership,Ticker,Founded,Parent Company,NAICS,Segment,Tier,Signal Type,Signal,Signal Date,Score,Source URL,Messaging Hook,Notes
HyImpulse,hyimpulse.de,"Neuenstadt, Germany",,Private,,,,,Launch & Space Access,B,Tailwind,"Hybrid rocket propulsion; paraffin-based",2024,5,https://en.wikipedia.org/wiki/HyImpulse,German launch technology,Hybrid propulsion; SL1 small launcher
Rocket Factory Augsburg,rfa.space,"Augsburg, Germany",,Private,,,,,Launch & Space Access,B,Tailwind,"RFA ONE launch vehicle; European microlauncher",2024,5,https://en.wikipedia.org/wiki/Rocket_Factory_Augsburg,German launch manufacturing,European microlauncher development
Agnikul Cosmos,agnikul.in,"Chennai, India",,Private,,,,,Launch & Space Access,B,Tailwind,"3D printed rocket engines; Agnibaan launch vehicle",2024,5,https://en.wikipedia.org/wiki/Agnikul_Cosmos,Indian launch technology,World's first single-piece 3D printed rocket engine
Galactic Energy,galactic-energy.cn,"Beijing, China",,Private,,,,,Launch & Space Access,C,Tailwind,"Chinese commercial launch provider",2024,4,https://en.wikipedia.org/wiki/Galactic_Energy,Chinese company; limited US engagement,Chinese commercial launch
Zhuque Aerospace (Landspace),landspace.com,"Beijing, China",,Private,,,,,Launch & Space Access,C,Tailwind,"Chinese commercial launch; Zhuque-2 methane rocket",2024,4,https://en.wikipedia.org/wiki/LandSpace,Chinese company; limited US engagement,Chinese commercial launch
Zero 2 Infinity,zero2infinity.space,"Barcelona, Spain",,Private,,,,,Launch & Space Access,B,Tailwind,"Balloon-launched rockets; Bloostar",2024,4,https://en.wikipedia.org/wiki/Zero_2_Infinity,Spanish launch technology,Near space balloon launches
Vaya Space,vayaspace.com,"Cocoa, FL",,Private,,,,,Launch & Space Access,B,Tailwind,"Hybrid rocket launch vehicles",2024,5,https://en.wikipedia.org/wiki/Vaya_Space,Florida launch manufacturing,$42M funding; 30-day launch cycle
Virgin Orbit,virginorbit.com,"Long Beach, CA",,Private,,,,,Launch & Space Access,C,Tailwind,"Air-launched rockets; filed for bankruptcy 2023",2023,2,https://en.wikipedia.org/wiki/Virgin_Orbit,Ceased operations,Filed bankruptcy; assets sold
Exolaunch,exolaunch.com,"Berlin, Germany",,Private,,,,,Launch & Space Access,B,Tailwind,"Rideshare and deployment services",2024,5,https://en.wikipedia.org/wiki/Exolaunch,Launch integration services,German company; deployment technology
Skyrora,skyrora.com,"Edinburgh, Scotland",,Public,,,,,Launch & Space Access,B,Tailwind,"UK launch vehicle development; Skyrora XL",2024,5,https://en.wikipedia.org/wiki/Skyrora,Scottish launch manufacturing,UK launch ambitions; 315kg to 500km
Aerospacelab,aerospacelab.be,"Mont-Saint-Guibert, Belgium",,Private,,,,,Spacecraft & Satellite Systems,B,Tailwind,"Small satellite manufacturer; Belgian space",2024,5,https://en.wikipedia.org/wiki/Aerospacelab,European satellite manufacturing,Belgian company; observation satellites
ISISPACE,isispace.nl,"Delft, Netherlands",,Private,,,,,Spacecraft & Satellite Systems,B,Tailwind,"CubeSat and small satellite solutions",2024,5,https://en.wikipedia.org/wiki/Innovative_Solutions_In_Space,Dutch small satellite provider,CubeSat deployers and platforms
Millennium Space Systems,millennium-space.com,"El Segundo, CA",,Private,,,,Boeing,Spacecraft & Satellite Systems,B,Tailwind,"Agile small satellites; Boeing subsidiary",2024,5,https://en.wikipedia.org/wiki/Millennium_Space_Systems,Boeing subsidiary; established operations,National security small satellites
OHB System,ohb.de,"Bremen, Germany",,Public,OHB,,,OHB SE,Spacecraft & Satellite Systems,B,Tailwind,"German satellite manufacturer",2024,5,https://en.wikipedia.org/wiki/OHB_System,European satellite manufacturing,German public company
Satrec Initiative,satreci.com,"Daejeon, South Korea",,Public,STRI,,,Satrec Initiative Co Ltd,Spacecraft & Satellite Systems,B,Tailwind,"Korean satellite manufacturer",2024,5,https://en.wikipedia.org/wiki/Satrec_Initiative,Korean satellite technology,South Korean EO satellites
Surrey Satellite Technology Ltd,sstl.co.uk,"Guildford, UK",,Private,,,,Airbus,Spacecraft & Satellite Systems,B,Tailwind,"UK small satellite pioneer",2024,5,https://en.wikipedia.org/wiki/SSTL,UK satellite manufacturing,Airbus subsidiary; 500+ employees
Sidus Space,sidusspace.com,"Cape Canaveral, FL",,Public,SIDU,,,Sidus Space Inc,Spacecraft & Satellite Systems,B,Tailwind,"Dual-use satellite manufacturing and AI",2024,5,https://en.wikipedia.org/wiki/Sidus_Space,Florida satellite manufacturing,Public company; Cape Canaveral
Bradford Space,bradford-space.com,"Heerle, Netherlands",,Private,,,,,Spacecraft Components & Subsystems,B,Tailwind,"Propulsion systems and spacecraft components",2024,5,https://www.bradford-space.com/,European propulsion supplier,US operations in VA and CA
Apollo Fusion (Astra),apollo-fusion.com,"Alameda, CA",,Private,,,,Astra Space,Spacecraft Components & Subsystems,B,Tailwind,"Hall-effect thrusters; Astra subsidiary",2024,5,https://en.wikipedia.org/wiki/Apollo_Fusion,Astra acquisition; California,Electric propulsion technology
Applied Ion Systems,appliedionsystems.com,"Boulder, CO",,Private,,,,,Spacecraft Components & Subsystems,B,Tailwind,"Micro-propulsion for small satellites",2024,5,https://www.appliedionsystems.com/,Colorado micro-propulsion,Boulder-based propulsion
Magdrive,magdrive.space,"Oxford, UK",,Private,,,,,Spacecraft Components & Subsystems,B,Tailwind,"Wireless power propulsion systems",2024,5,https://www.magdrive.space/,UK propulsion technology,Novel wireless power transfer
Orbion Space Technology,orbionspace.com,"Houghton, MI",,Private,,,,,Spacecraft Components & Subsystems,B,Tailwind,"Plasma propulsion for small satellites",2024,5,https://en.wikipedia.org/wiki/Orbion_Space_Technology,Michigan propulsion manufacturing,Hall thruster technology
VACCO Industries,vacco.com,"South El Monte, CA",,Public,,,,HEICO,Spacecraft Components & Subsystems,B,Tailwind,"Space valves and fluid control; acquired 2025",2025,5,https://www.vacco.com/,California aerospace supplier,$310M acquisition by HEICO
Astronics Corporation,astronics.com,"East Aurora, NY",,Public,ATRO,,,Astronics Corporation,Spacecraft Components & Subsystems,B,Tailwind,"Aerospace test and lighting systems",2024,4,https://en.wikipedia.org/wiki/Astronics_Corporation,New York aerospace supplier,Public company; established
Honeybee Robotics,honeybeerobotics.com,"Longmont, CO",,Private,,,,Blue Origin,Spacecraft Components & Subsystems,B,Tailwind,"Space robotics and mechanisms; Blue Origin subsidiary",2024,5,https://en.wikipedia.org/wiki/Honeybee_Robotics,Colorado robotics; Blue Origin sub,Space mechanisms and sampling
Scout Space,scout.space,"Reston, VA",,Private,,,,,Data Software & Space Intelligence,B,Tailwind,"On-orbit space domain awareness",2024,5,https://www.scout.space/,Virginia SDA technology,$5.75M funding; orbital inspection
Synthetaic,synthetaic.com,"Delafield, WI",,Private,,,,,Data Software & Space Intelligence,B,Tailwind,"AI for geospatial analysis; now RAIC Labs",2024,5,https://en.wikipedia.org/wiki/Synthetaic,Wisconsin AI/ML,$15M Series B 2024
Kythera Space Solutions,kythera.space,"Irvine, CA",,Private,,,,,Data Software & Space Intelligence,B,Tailwind,"Space domain awareness and custody chain",2024,5,https://kythera.space/,California SDA software,Space monitoring solutions
FreeFlyer (AI Solutions),ai-solutions.com,"Lanham, MD",,Private,,,,,Data Software & Space Intelligence,B,Tailwind,"Astrodynamics software; FreeFlyer platform",2024,4,https://www.ai-solutions.com/,Maryland space software,Established astrodynamics leader
Quilty Analytics,quiltyanalytics.com,"Alexandria, VA",,Private,,,,,Data Software & Space Intelligence,C,Tailwind,"Space industry research and advisory",2024,3,https://www.quiltyanalytics.com/,Research/advisory not manufacturing,Market research firm
Guident,guident.co,"McLean, VA",,Private,,,,,Data Software & Space Intelligence,B,Tailwind,"Geospatial AI and automation",2024,5,https://www.guident.co/,Virginia AI/ML,Autonomous vehicle monitoring
Aptos Orbital,aptosorbital.com,"Los Angeles, CA",,Private,,,,,Ground Infrastructure & Mission Operations,B,Tailwind,"Ground segment solutions",2024,5,https://www.aptosorbital.com/,California ground systems,Ground infrastructure
Astrogate Labs,astrogatelabs.com,"Bangalore, India",,Private,,,,,Communications PNT & Connectivity,B,Tailwind,"Optical inter-satellite links",2024,5,https://www.astrogatelabs.com/,Indian laser comms,Optical communications technology
Lynk Global,lynk.world,"Falls Church, VA",,Private,,,,,Communications PNT & Connectivity,B,Tailwind,"Satellite-direct-to-cell phone connectivity",2024,5,https://en.wikipedia.org/wiki/Lynk_Global,Virginia satellite communications,Direct satellite-to-phone
Mangata Networks,mangatanetworks.com,"Menlo Park, CA",,Private,,,,,Communications PNT & Connectivity,B,Tailwind,"Multi-orbit broadband constellation",2024,5,https://www.mangatanetworks.com/,California satellite broadband,HEO/MEO hybrid constellation
Skykraft,skykraft.com.au,"Canberra, Australia",,Private,,,,,Communications PNT & Connectivity,B,Tailwind,"Space-enabled air traffic management",2024,5,https://www.skykraft.com.au/,Australian space company,ATM from space
Orbital Assembly,orbitalassembly.com,"Rancho Palos Verdes, CA",,Private,,,,,Space Stations Habitats & Orbital Platforms,B,Tailwind,"Artificial gravity space stations",2024,4,https://en.wikipedia.org/wiki/Orbital_Assembly,California space stations,Voyager Station concept; early stage
Orbital Therapeutics,orbitaltx.com,"San Francisco, CA",,Private,,,,,In-Space Manufacturing Materials & Zero-Gravity R&D,B,Tailwind,"Microgravity pharmaceutical research",2024,5,https://www.orbitaltx.com/,California pharma R&D,In-space pharmaceutical manufacturing
Swinburne University of Technology (Space),swinburne.edu.au,"Melbourne, Australia",,Educational,,,,,Research Workforce & Ecosystem Enablement,C,Tailwind,"Space research and education",2024,3,https://en.wikipedia.org/wiki/Swinburne_University_of_Technology,Research institution,Not commercial target

Loft Orbital,loftorbital.com,"San Francisco, CA / Toulouse FR",USA,,Private,,2017,,Satellite Services,Infrastructure-as-a-Service,B,Event,"$140M funding led by BlackRock; space infrastructure platform; rapid satellite deployment",2025,7,https://www.startus-insights.com/innovators-guide/space-industry-outlook/,"Your BlackRock backing and IaaS model democratize space access for commercial customers",Shared satellite payloads; rapid deployment
K2 Space,k2space.com,"Torrance, CA",USA,,Private,,2022,,Satellites,Large Satellite Manufacturing,A,Event,"$110M Series B; large commercial satellite manufacturing; vertically integrated",2025,7,https://www.knobbe.com/blog/space-technology-investments-clear-the-launch-tower-in-2025/,"Your $110M raise and large satellite platform address the gap in commercial bus manufacturing",Ex-SpaceX team; unique large sat capability
Array Labs,arraylabs.com,"Palo Alto, CA",USA,,Private,,2022,,Satellites,Radar/SAR,B,Event,"Distributed radar satellite cluster; first 4-satellite production cluster Apr 2025; 3D Earth imagery",2025,6,https://insights.tryspecter.com/spacetech-landscape-2025/,"Your distributed radar cluster enables unprecedented 3D Earth observation capabilities",Novel architecture; production cluster launched
True Anomaly,trueanomaly.space,"Denver, CO",USA,,Private,,2022,,Satellites,Space Domain Awareness,A,Event,"$260M Series C; military-class orbital systems; Jackal inspection vehicle; DoD contracts",2025,8,https://www.knobbe.com/blog/space-technology-investments-clear-the-launch-tower-in-2025/,"Your $260M raise and DoD contracts position you as the space domain awareness leader",Inspection/maneuvering satellites; defense focus
