Company,Website,HQ Location,Country,Employee Count,Ownership,Ticker,Founded,Segment,Sub-Segment,Tier,Signal Type,Signal,Signal Date,Score,Source URL,Messaging Hook,Notes
DNP (Dai Nippon Printing),global.dnp,"Tokyo, Japan",Japan,,Public,7912.T,1876,Materials,Photomasks,A,Event,"2nm EUV photomask process by FY2025; Rapidus supplier; imec partnership",2025,7,https://www.global.dnp/news/detail/20173706_4126.html,2nm EUV photomask development,Rapidus supplier
Diodes Incorporated,diodes.com,"Plano, TX",USA,,Public,DIOD,1959,Fabs,Discrete/Analog,B,Tailwind,"Multiple fabs globally; discrete semiconductors; acquired BCD Semi",2024,5,https://www.diodes.com/,Discrete and analog IDM,Global fab network
Rapidus,rapidus.inc,"Tokyo, Japan",Japan,,Private,JV,2022,Fabs,Leading-Edge Logic,A,Event,"$5.4B subsidies FY2025; first 2nm GAA transistors Jul 2025; mass production 2027 target",2025,9,https://en.wikipedia.org/wiki/Rapidus,Japan 2nm fab; first chips 2025,Japan's national champion
AGC Inc,agc.com,"Tokyo, Japan",Japan,,Public,5201.T,1907,Materials,EUV Mask Blanks/Glass,A,Event,"59% EUV mask blank market share; 30% capacity expansion by 2025; ¥40B sales target",2025,8,https://www.agc.com/en/news/detail/1203819_2814.html,EUV mask blanks leader,Duopoly with Hoya
JSR Corporation,jsr.co.jp,"Tokyo, Japan",Japan,,Private,JIC,1957,Materials,Photoresists,A,Event,"JIC 100% acquisition Mar 2024; ~90% global photoresist market with TOK; national champion",2024,7,https://www.trade.gov/country-commercial-guides/japan-semiconductors,Photoresist market leader,JIC national consolidation
Tokyo Ohka Kogyo (TOK),tok.co.jp,"Kawasaki, Japan",Japan,,Public,4186.T,1940,Materials,Photoresists,A,Event,"¥20B Korea photoresist plant; Samsung/SK hynix supplier; 91% global market with JSR",2025,7,https://www.trendforce.com/news/2025/11/06/news-japan-ramps-up-photoresist-investment-for-2nm-chips-tokyo-ohka-kogyo-jsr-lead-the-charge/,Korea plant expansion; EUV photoresist,#2 photoresist globally
NVIDIA,nvidia.com,"Santa Clara, CA",USA,,Public,NVDA,1993,Fabless,AI/GPU Design,B,Event,"$374M Santa Clara campus purchase 2024; 324K sqft new facility May 2025; $4.5T market cap",2025,6,https://www.credaily.com/briefs/nvidia-expansion-drives-silicon-valley-office-growth-amid-ai-boom/,Santa Clara HQ expansion,World's most valuable company
AMD,amd.com,"Santa Clara, CA",USA,,Public,AMD,1969,Fabless,CPU/GPU Design,B,Event,"New York design centers (Monroe + Fishkill); 165 new jobs; Orlando R&D center Sept 2025",2025,6,https://www.governor.ny.gov/news/governor-hochul-announces-establishment-world-class-amd-design-centers-new-york-state,NY + Orlando design centers,CPU/GPU leader; acquired Xilinx
Broadcom,broadcom.com,"Palo Alto, CA",USA,,Public,AVGO,1961,Fabless,Networking/Custom Silicon,B,Tailwind,"$11B R&D spend 2025 (+18% YoY); custom AI accelerators for Google/Meta/ByteDance; VMware acquisition",2025,5,https://www.macrotrends.net/stocks/charts/AVGO/broadcom/research-development-expenses,$11B R&D; custom AI chips,#2 fabless by market cap
Qualcomm,qualcomm.com,"San Diego, CA",USA,,Public,QCOM,1985,Fabless,Mobile/5G/Automotive,B,Tailwind,"San Diego HQ; Snapdragon AI; automotive ADAS expansion",2024,5,https://www.qualcomm.com/,Wireless technology leader,5G/mobile dominant
Marvell Technology,marvell.com,"Wilmington, DE",USA,,Public,MRVL,1995,Fabless,Data Center/Networking,B,Event,"Vietnam expansion (HCM + Da Nang) Sept 2025; India R&D expansion; $5.5B Celestial AI acquisition Dec 2025",2025,6,https://www.marvell.com/company/newsroom/marvell-accelerates-expansion-in-vietnam.html,Vietnam + India R&D expansion,Data center semiconductor leader
MediaTek,mediatek.com,"Hsinchu, Taiwan",Taiwan,,Public,2454.TW,1997,Fabless,Mobile/IoT/AI,B,Tailwind,"Taiwan-based; India design expansion; ARM PC chip development",2024-2025,5,https://topics.amcham.com.tw/2024/09/mediatek-steps-up-diversification-efforts/,India design center growth,#4 fabless globally
ARM Holdings,arm.com,"Cambridge, UK",UK,,Public,ARM,1990,Fabless,IP/Architecture Licensing,B,Tailwind,"CPU architecture monopoly; AI acceleration push; IPO 2023",2024,5,https://www.arm.com/,CPU architecture monopoly,Powers 99% of smartphones
Lattice Semiconductor,latticesemi.com,"Hillsboro, OR",USA,,Public,LSCC,1983,Fabless,FPGA/Low Power,B,Tailwind,"Low-power FPGA leader; edge AI focus; Oregon HQ",2024,5,https://www.latticesemi.com/,Low-power FPGA leader,Edge AI specialist
Cirrus Logic,cirrus.com,"Austin, TX",USA,,Public,CRUS,1984,Fabless,Audio/Mixed-Signal,B,Tailwind,"Austin HQ; audio IC leader; Apple supplier",2024,5,https://www.cirrus.com/,Audio IC leader,Major Apple supplier
Monolithic Power Systems,monolithicpower.com,"Kirkland, WA",USA,,Public,MPWR,1997,Fabless,Power Management,B,Tailwind,"High-performance power ICs; AI server power; data center growth",2024,5,https://www.monolithicpower.com/,Power management leader,AI data center focus
DB HiTek,dbhitek.com,"Bucheon, South Korea",Korea,,Public,000990.KS,2000,Fabs,Specialty Foundry,B,Event,"Image sensor expansion; machine vision/autonomous vehicles; high value-added focus",2024,5,https://dbhitek.com/en/index,Korea specialty foundry,Image sensor focus
Wonik IPS,ips.co.kr,"Pyeongtaek, South Korea",Korea,,Public,240810.KQ,1999,Equipment (Front-End),CVD/ALD/Etch,B,Tailwind,"Korean equipment maker; CVD and etch systems; Samsung/SK supplier",2024,5,https://www.ips.co.kr/en/,Korean equipment leader,Domestic Korean market
Soulbrain,soulbrain.co.kr,"Seongnam, South Korea",Korea,,Public,357780.KQ,1986,Materials,Electronic Chemicals,A,Event,"$175M Taylor Texas plant for Samsung; high-purity phosphoric acid; construction Jan 2025",2025,7,https://www.statesman.com/story/news/local/2024/07/29/samsung-semiconductors-plant-taylor-texas-south-korean-company-soulbrain-tx-llc-invest/74562610007/,Taylor TX plant for Samsung,Korean chemicals leader
LEENO Industrial,leeno.com,"Busan, South Korea",Korea,,Public,058470.KQ,1978,Equipment (Back-End),Test Sockets/Probes,B,Tailwind,"IC test sockets and probes; HBM testing focus",2024,5,https://leeno.com/,Test socket specialist,Growing with HBM demand
Eugene Technology,eugenetech.co.kr,"Yongin, South Korea",Korea,,Public,084370.KQ,1999,Equipment (Front-End),ALD/CVD/Epitaxy,B,Event,"Samsung large ALD order; batch-type ALD localization; Icheon investment agreement",2025,6,https://pitchbook.com/profiles/company/164906-29,Samsung ALD supplier,Korean ALD specialist
ams-OSRAM,ams-osram.com,"Premstätten, Austria",Austria,,Public,AMS.SW,1981,Fabs,Sensors/Optoelectronics,A,Event,"€227M EU Chips Act funding Feb 2025; €567M investment by 2030; Austria expansion",2025,7,https://ams-osram.com/news/press-releases/european-chips-act,Austria fab expansion; EU Chips Act,Sensors and optoelectronics leader
SUSS MicroTec,suss.com,"Garching, Germany",Germany,,Public,SMHN.DE,1949,Equipment (Front-End),Lithography/Bonding,A,Event,"AI chip module capacity expansion; multi-year growth cycle; CMD 2025 targets",2025,7,https://www.suss.com/en,AI packaging equipment growth,German lithography equipment
VAT Group,vatgroup.com,"Haag, Switzerland",Switzerland,,Public,VACN.SW,1965,Equipment (Front-End),Vacuum Valves,A,Event,"New R&D center April 2025; Haag production expansion for European customers",2025,7,https://www.vatgroup.com/investor-relations/group-results,New R&D center; European production,Global vacuum valve leader
IQE,iqep.com,"Cardiff, UK",UK,,Public,IQE.L,1988,Substrates,Compound Semiconductor Wafers,B,Tailwind,"GaAs/GaN/InP epitaxial wafers; ULTRARAM project; potential sale under review",2025,5,https://www.iqep.com/,Compound semi wafer leader,Strategic review underway
Melexis,melexis.com,"Tessenderlo, Belgium",Belgium,,Public,MELE.BR,1988,Fabless,Automotive Sensors,B,Tailwind,"Magnetic sensors; MEMS; automotive focus; robotics expansion",2024,5,https://www.melexis.com/en,Automotive sensor specialist,Belgian fabless leader
Substrate,substrate.com,"San Francisco, CA",USA,,Private,,2024,Equipment (Front-End),X-ray Lithography,A,Event,"$100M seed from Founders Fund + In-Q-Tel; building X-ray lithography equipment; US manufacturing",2025,8,https://www.wsj.com/tech/peter-thiel-backed-startup-secures-100-million-to-make-chips-in-u-s-baff93ac,Thiel-backed; US lithography alternative,$100M seed is massive
Paragraf,paragraf.com,"Cambridge, UK",UK,,Private,,2015,Fabs,Graphene Electronics,B,Event,"$55M Series C; graphene-on-wafer MOCVD; foundry services available",2025,6,https://www.paragraf.com/press-release-paragraf-closes-55m-series-c-funding-round/,Graphene foundry services,Novel material manufacturing
Atlant 3D,atlant3d.com,"Copenhagen, Denmark",Denmark,,Private,,2018,Equipment (Front-End),Atomic Layer Processing,B,Event,"$15M Series A+; DALP equipment for multi-material structures; 90% less waste",2025,6,https://www.prnewswire.com/news-releases/atlant-3d-secures-15-m-series-a-as-demand-grows-for-its-atomic-layer-processing-technology-302398320.html,Novel ALD equipment,Danish equipment startup
Clas-SiC Wafer Fab,clas-sic.com,"Lochgelly, UK",UK,,Private,,2017,Fabs,Specialty/SiC Foundry,B,Event,"£12M investment; 150mm SiC wafer foundry; prototyping and low-volume production",2025,6,https://clas-sic.com/,UK SiC foundry,European SiC capacity
Wooptix,wooptix.com,"Tenerife, Spain",Spain,,Private,,2016,Equipment (Front-End),Metrology,B,Event,"€10M Series C; Samsung-backed; wavefront phase imaging for wafer metrology",2025,6,https://wooptix.com/wooptix-secures-over-e10-million/,Samsung-backed metrology,Spanish equipment startup
d-Matrix,d-matrix.ai,"Santa Clara, CA",USA,,Private,,2019,Fabless,AI Inference Chips,B,Event,"$275M Series C Dec 2025; digital in-memory compute; $450M total raised; global expansion",2025,7,https://www.d-matrix.ai/announcements/d-matrix-raises-275-million-to-power-the-age-of-ai-inference/,Large-scale AI deployments,$450M total funding
EnCharge AI,enchargeai.com,"Santa Clara, CA",USA,,Private,,2022,Fabless,AI Edge Chips,B,Event,"$100M+ Series B; analog in-memory compute; 150-375 TOPS/W; PCIe cards + chiplets",2025,6,https://www.enchargeai.com/news-and-publications/series-b,Princeton spinout; in-memory AI,$144M total raised
MemryX,memryx.com,"Ann Arbor, MI",USA,,Private,,2019,Fabless,AI Edge Chips,B,Event,"$44M Series B; compute-at-memory AI accelerators; ramping production",2025,6,https://www.prnewswire.com/news-releases/memryx-raises-44-million-in-series-b-funding-for-advanced-edge-ai-computing-302412842.html,Michigan AI chip startup,Production ramp underway
Rebellions,rebellions.ai,"Seongnam, South Korea",Korea,,Private,,2020,Fabless,AI Inference Chips,B,Event,"$250M Series C; ARM + Samsung backed; mass production accelerating",2025,7,https://rebellions.ai/newsroom/rebellions-raises-250-million-to-advance-the-next-generation-ai-infrastructure-backed-by-arm-and-samsung/,Korean AI chip unicorn,ARM + Samsung investors
FuriosaAI,furiosa.ai,"Seoul, South Korea",Korea,,Private,,2017,Fabless,AI Inference Chips,B,Event,"$125M Series C; tensor contraction processor; mass production of LLM accelerator",2025,6,https://furiosa.ai/blog/announcing-furiosaais-125m-series-c-bridge-funding-to-scale-sustainable-ai-compute/,Korean AI inference,$246M total raised
Vinci,getvinci.ai,"Palo Alto, CA",USA,,Private,,2023,Equipment (Front-End),EDA/Simulation,B,Event,"$46M seed + Series A; physics-based AI for advanced packaging simulation",2025,6,https://www.getvinci.ai/news/vinci-emerges-from-stealth-to-transform-semiconductor-design-and-simulation/,Advanced packaging simulation,2.5D/3D IC design tool
Corintis,corintis.com,"Lausanne, Switzerland",Switzerland,,Private,,2021,Equipment (Back-End),Chip Cooling,B,Event,"$24M Series A; in-chip microfluidic cooling; Microsoft collaboration",2025,6,https://www.globenewswire.com/news-release/2025/09/25/3156314/0/en/Corintis-raises-24M-to-target-the-next-AI-bottleneck-and-collaborates-with-Microsoft-for-chip-cooling-breakthrough.html,Microsoft data center collab,EPFL spinout
